drug_id,drug_name,disease_id,disease_name,Model,Total_Abstracts,Analyzed,Positive,Neutral,Negative,Human_Studies,Animal_in_vivo_Studies,In_vitro_Studies,Review_Studies,Computational_Studies,Not_specified_Studies,rank,Rate_Positive,Rate_Neutral,Rate_Negative,Criterion_1,Criterion_2,has_clinical_trial,clinical_trial_count,clinical_trial_id,additional_trials,search_status,primary_completion_date,study_phase,trial_conditions,trial_status,trial_title
14196,Propranolol,99214,cardiomyopathy due to anthracyclines,RLR,200,200,2,196,2,95,60,16,20,1,8,1,0.01,0.98,0.01,Potentially Therapeutic,Potentially Therapeutic,Yes,1,NCT05427474,,Success - Found and processed details,2023-09-30 (ESTIMATED),PHASE3,Traumatic Brain Injury,UNKNOWN,Role of Combined Therapy of Propranolol and Gabapentin in Paroxysmal Sympathetic Hyperactivity in Traumatic Brain Injury
15399,Acefylline,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,1,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
15399,Acefylline,99214,cardiomyopathy due to anthracyclines,RLR,1,1,0,1,0,,,,,,,6,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14783,Caffeine,99214,cardiomyopathy due to anthracyclines,CompGCN,59,59,0,49,10,,,,,,,1,0,0.830508475,0.169491525,Potentially Adverse Effect,No Positive Sign,Yes,3,NCT07103057,"NCT03845127,NCT01225978",Success - Found and processed details,2028-12 (ESTIMATED) || 2024-12-31 (ACTUAL) || 2012-12 (ACTUAL),Unknown || NA || Unknown,Hypertrophic Cardiomyopathy --- Ischemic Cardiomyopathy; Heart Failure --- Hypertrophic Cardiomyopathy; Hearing Loss; Cancer,RECRUITING || WITHDRAWN || UNKNOWN,VIZ ACCESS HCM - Multi-Site Registry || Randomized Evaluation and Verification of Ventricular Enhancement || Refining Information Technology Support for Genetics in Medicine
15446,Bosentan,99214,cardiomyopathy due to anthracyclines,RLR,198,198,2,184,12,78,34,2,75,1,8,2,0.01010101,0.929292929,0.060606061,Potentially Adverse Effect,Potentially Therapeutic,No,0,,,No trials found,,,,,
16036,Acetylcysteine,99214,cardiomyopathy due to anthracyclines,CompGCN,128,128,11,113,4,,,,,,,2,0.0859375,0.8828125,0.03125,Potentially Therapeutic,Potentially Therapeutic,Yes,1,NCT01537926,,Success - Found and processed details,2016-12-31 (ACTUAL),PHASE1,Hypertrophic Cardiomyopathy,COMPLETED,Hypertrophic Regression With N-Acetylcysteine in HCM
18314,Benzoic acid,99214,cardiomyopathy due to anthracyclines,RLR,37,37,0,33,4,2,22,12,1,0,0,3,0,0.891891892,0.108108108,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
16281,Cysteine,99214,cardiomyopathy due to anthracyclines,CompGCN,200,200,3,197,0,,,,,,,3,0.015,0.985,0,Potentially Therapeutic,Potentially Therapeutic,No,0,,,No trials found,,,,,
20423,Aminobenzoic acid,99214,cardiomyopathy due to anthracyclines,RLR,4,4,0,3,1,2,0,1,1,0,0,4,0,0.75,0.25,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
14955,Vincristine,99214,cardiomyopathy due to anthracyclines,CompGCN,34,34,1,33,0,,,,,,,4,0.029411765,0.970588235,0,Potentially Therapeutic,Potentially Therapeutic,Yes,1,NCT06220032,,Success - Found and processed details,2028-12-15 (ESTIMATED),PHASE3,DLBCL - Diffuse Large B Cell Lymphoma,RECRUITING,Prevention of Anthracycline-Induced Cardiac Dysfunction With Dexrazoxane in Patients With Diffuse Large-B Cell Lymphoma
14226,Zileuton,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,4,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14686,Clomifene,99214,cardiomyopathy due to anthracyclines,CompGCN,1,1,0,1,0,,,,,,,5,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
17568,Tulobuterol,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,5,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
15412,Histamine,99214,cardiomyopathy due to anthracyclines,CompGCN,16,16,0,16,0,,,,,,,6,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
17221,Levosimendan,99214,cardiomyopathy due to anthracyclines,RLR,200,200,2,192,6,112,21,10,45,2,10,7,0.01,0.96,0.03,Potentially Adverse Effect,Potentially Therapeutic,Yes,2,NCT02640846,NCT04166331,Success - Found and processed details,2019-01 (ESTIMATED) || 2025-07-01 (ACTUAL),PHASE4 || PHASE3,Septic Shock; Cardiomyopathy --- Sepsis; Cardiomyopathies; Hypoperfusion; Left Ventricular Systolic Dysfunction,UNKNOWN || COMPLETED,"Effects of Levosimendan, Milrinone and Norepinephrine on Left and Right Ventricular Function in Septic Shock || Adjunctive DobutAmine in sePtic Cardiomyopathy With Tissue Hypoperfusion"
14792,Paclitaxel,99214,cardiomyopathy due to anthracyclines,CompGCN,46,46,0,36,10,,,,,,,7,0,0.782608696,0.217391304,Potentially Adverse Effect,No Positive Sign,Yes,1,NCT02677714,,Success - Found and processed details,2018-10-12 (ACTUAL),PHASE2,Breast Cancer; Doxorubicin Induced Cardiomyopathy,TERMINATED,99mTc-rhAnnexin V-128 Imaging and Cardiotoxicity in Patients With Early Breast Cancer
20598,Ibopamine,99214,cardiomyopathy due to anthracyclines,RLR,12,12,0,9,3,4,0,1,7,0,0,8,0,0.75,0.25,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
16219,Alprostadil,99214,cardiomyopathy due to anthracyclines,CompGCN,11,11,0,11,0,,,,,,,8,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
20613,Azosemide,99214,cardiomyopathy due to anthracyclines,RLR,24,24,0,22,2,19,1,0,4,0,0,9,0,0.916666667,0.083333333,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
15160,Arformoterol,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,9,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14194,Methotrexate,99214,cardiomyopathy due to anthracyclines,CompGCN,57,57,0,54,3,,,,,,,9,0,0.947368421,0.052631579,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
14108,Ubidecarenone,99214,cardiomyopathy due to anthracyclines,RLR,4,4,1,3,0,2,1,1,0,0,0,10,0.25,0.75,0,Potentially Therapeutic,Potentially Therapeutic,Yes,3,NCT02847585,"NCT01793168,NCT02115581",Success - Found and processed details,2018-05-30 (ACTUAL) || 2100-12 (ESTIMATED) || 2008-03 (ACTUAL),NA || Unknown || PHASE4,"Pediatric Dilated Cardiomyopathy --- Rare Disorders; Undiagnosed Disorders; Disorders of Unknown Prevalence; Cornelia De Lange Syndrome; Prenatal Benign Hypophosphatasia; Perinatal Lethal Hypophosphatasia; Odontohypophosphatasia; Adult Hypophosphatasia; Childhood-onset Hypophosphatasia; Infantile Hypophosphatasia; Hypophosphatasia; Kabuki Syndrome; Bohring-Opitz Syndrome; Narcolepsy Without Cataplexy; Narcolepsy-cataplexy; Hypersomnolence Disorder; Idiopathic Hypersomnia Without Long Sleep Time; Idiopathic Hypersomnia With Long Sleep Time; Idiopathic Hypersomnia; Kleine-Levin Syndrome; Kawasaki Disease; Leiomyosarcoma; Leiomyosarcoma of the Corpus Uteri; Leiomyosarcoma of the Cervix Uteri; Leiomyosarcoma of Small Intestine; Acquired Myasthenia Gravis; Addison Disease; Hyperacusis (Hyperacousis); Juvenile Myasthenia Gravis; Transient Neonatal Myasthenia Gravis; Williams Syndrome; Lyme Disease; Myasthenia Gravis; Marinesco Sjogren Syndrome(Marinesco-Sjogren Syndrome); Isolated Klippel-Feil Syndrome; Frasier Syndrome; Denys-Drash Syndrome; Beckwith-Wiedemann Syndrome; Emanuel Syndrome; Isolated Aniridia; Axenfeld-Rieger Syndrome; Aniridia-intellectual Disability Syndrome; Aniridia - Renal Agenesis - Psychomotor Retardation; Aniridia - Ptosis - Intellectual Disability - Familial Obesity; Aniridia - Cerebellar Ataxia - Intellectual Disability; Aniridia - Absent Patella; Aniridia; Peters Anomaly - Cataract; Peters Anomaly; Potocki-Shaffer Syndrome; Silver-Russell Syndrome Due to Maternal Uniparental Disomy of Chromosome 11; Silver-Russell Syndrome Due to Imprinting Defect of 11p15; Silver-Russell Syndrome Due to 11p15 Microduplication; Syndromic Aniridia; WAGR Syndrome; Wolf-Hirschhorn Syndrome; 4p16.3 Microduplication Syndrome; 4p Deletion Syndrome, Non-Wolf-Hirschhorn Syndrome; Autosomal Recessive Stickler Syndrome; Stickler Syndrome Type 2; Stickler Syndrome Type 1; Stickler Syndrome; Mucolipidosis Type 4; X-linked Spinocerebellar Ataxia Type 4; X-linked Spinocerebellar Ataxia Type 3; X-linked Intellectual Disability - Ataxia - Apraxia; X-linked Progressive Cerebellar Ataxia; X-linked Non Progressive Cerebellar Ataxia; X-linked Cerebellar Ataxia; Vitamin B12 Deficiency Ataxia; Toxic Exposure Ataxia; Unclassified Autosomal Dominant Spinocerebellar Ataxia; Thyroid Antibody Ataxia; Sporadic Adult-onset Ataxia of Unknown Etiology; Spinocerebellar Ataxia With Oculomotor Anomaly; Spinocerebellar Ataxia With Epilepsy; Spinocerebellar Ataxia With Axonal Neuropathy Type 2; Spinocerebellar Ataxia Type 8; Spinocerebellar Ataxia Type 7; Spinocerebellar Ataxia Type 6; Spinocerebellar Ataxia Type 5; Spinocerebellar Ataxia Type 4; Spinocerebellar Ataxia Type 37; Spinocerebellar Ataxia Type 36; Spinocerebellar Ataxia Type 35; Spinocerebellar Ataxia Type 34; Spinocerebellar Ataxia Type 32; Spinocerebellar Ataxia Type 31; Spinocerebellar Ataxia Type 30; Spinocerebellar Ataxia Type 3; Spinocerebellar Ataxia Type 29; Spinocerebellar Ataxia Type 28; Spinocerebellar Ataxia Type 27; Spinocerebellar Ataxia Type 26; Spinocerebellar Ataxia Type 25; Spinocerebellar Ataxia Type 23; Spinocerebellar Ataxia Type 22; Spinocerebellar Ataxia Type 21; Spinocerebellar Ataxia Type 20; Spinocerebellar Ataxia Type 2; Spinocerebellar Ataxia Type 19/22; Spinocerebellar Ataxia Type 18; Spinocerebellar Ataxia Type 17; Spinocerebellar Ataxia Type 16; Spinocerebellar Ataxia Type 15/16; Spinocerebellar Ataxia Type 14; Spinocerebellar Ataxia Type 13; Spinocerebellar Ataxia Type 12; Spinocerebellar Ataxia Type 11; Spinocerebellar Ataxia Type 10; Spinocerebellar Ataxia Type 1 With Axonal Neuropathy; Spinocerebellar Ataxia Type 1; Spinocerebellar Ataxia - Unknown; Spinocerebellar Ataxia - Dysmorphism; Non Progressive Epilepsy and/or Ataxia With Myoclonus as a Major Feature; Spasticity-ataxia-gait Anomalies Syndrome; Spastic Ataxia With Congenital Miosis; Spastic Ataxia - Corneal Dystrophy; Spastic Ataxia; Rare Hereditary Ataxia; Rare Ataxia; Recessive Mitochondrial Ataxia Syndrome; Progressive Epilepsy and/or Ataxia With Myoclonus as a Major Feature; Posterior Column Ataxia - Retinitis Pigmentosa; Post-Stroke Ataxia; Post-Head Injury Ataxia; Post Vaccination Ataxia; Polyneuropathy - Hearing Loss - Ataxia - Retinitis Pigmentosa - Cataract; Muscular Atrophy - Ataxia - Retinitis Pigmentosa - Diabetes Mellitus; Non-hereditary Degenerative Ataxia; Paroxysmal Dystonic Choreathetosis With Episodic Ataxia and Spasticity; Olivopontocerebellar Atrophy - Deafness; NARP Syndrome; Myoclonus - Cerebellar Ataxia - Deafness; Multiple System Atrophy, Parkinsonian Type; Multiple System Atrophy, Cerebellar Type; Multiple System Atrophy; Maternally-inherited Leigh Syndrome; Machado-Joseph Disease Type 3; Machado-Joseph Disease Type 2; Machado-Joseph Disease Type 1; Leigh Syndrome; Late-onset Ataxia With Dementia; Infection or Post Infection Ataxia; GAD Ataxia; Hereditary Episodic Ataxia; Gliadin/Gluten Ataxia; Friedreich Ataxia; Fragile X-associated Tremor/Ataxia Syndrome; Familial Paroxysmal Ataxia; Exposure to Medications Ataxia; Episodic Ataxia With Slurred Speech; Episodic Ataxia Unknown Type; Episodic Ataxia Type 7; Episodic Ataxia Type 6; Episodic Ataxia Type 5; Episodic Ataxia Type 4; Episodic Ataxia Type 3; Episodic Ataxia Type 1; Epilepsy and/or Ataxia With Myoclonus as Major Feature; Early-onset Spastic Ataxia-neuropathy Syndrome; Early-onset Progressive Neurodegeneration - Blindness - Ataxia - Spasticity; Early-onset Cerebellar Ataxia With Retained Tendon Reflexes; Early-onset Ataxia With Dementia; Childhood-onset Autosomal Recessive Slowly Progressive Spinocerebellar Ataxia; Dilated Cardiomyopathy With Ataxia; Cataract - Ataxia - Deafness; Cerebellar Ataxia, Cayman Type; Cerebellar Ataxia With Peripheral Neuropathy; Cerebellar Ataxia - Hypogonadism; Cerebellar Ataxia - Ectodermal Dysplasia; Cerebellar Ataxia - Areflexia - Pes Cavus - Optic Atrophy - Sensorineural Hearing Loss; Brain Tumor Ataxia; Brachydactyly - Nystagmus - Cerebellar Ataxia; Benign Paroxysmal Tonic Upgaze of Childhood With Ataxia; Autosomal Recessive Syndromic Cerebellar Ataxia; Autosomal Recessive Spastic Ataxia With Leukoencephalopathy; Autosomal Recessive Spastic Ataxia of Charlevoix-Saguenay; Autosomal Recessive Spastic Ataxia - Optic Atrophy - Dysarthria; Autosomal Recessive Spastic Ataxia; Autosomal Recessive Metabolic Cerebellar Ataxia; Autosomal Dominant Spinocerebellar Ataxia Due to Repeat Expansions That do Not Encode Polyglutamine; Autosomal Recessive Ataxia, Beauce Type; Autosomal Recessive Ataxia Due to Ubiquinone Deficiency; Autosomal Recessive Ataxia Due to PEX10 Deficiency; Autosomal Recessive Degenerative and Progressive Cerebellar Ataxia; Autosomal Recessive Congenital Cerebellar Ataxia Due to MGLUR1 Deficiency; Autosomal Recessive Congenital Cerebellar Ataxia Due to GRID2 Deficiency; Autosomal Recessive Congenital Cerebellar Ataxia; Autosomal Recessive Cerebellar Ataxia-pyramidal Signs-nystagmus-oculomotor Apraxia Syndrome; Autosomal Recessive Cerebellar Ataxia-epilepsy-intellectual Disability Syndrome Due to WWOX Deficiency; Autosomal Recessive Cerebellar Ataxia-epilepsy-intellectual Disability Syndrome Due to TUD Deficiency; Autosomal Recessive Cerebellar Ataxia-epilepsy-intellectual Disability Syndrome Due to KIAA0226 Deficiency; Autosomal Recessive Cerebellar Ataxia-epilepsy-intellectual Disability Syndrome; Autosomal Recessive Cerebellar Ataxia With Late-onset Spasticity; Autosomal Recessive Cerebellar Ataxia Due to STUB1 Deficiency; Autosomal Recessive Cerebellar Ataxia Due to a DNA Repair Defect; Autosomal Recessive Cerebellar Ataxia - Saccadic Intrusion; Autosomal Recessive Cerebellar Ataxia - Psychomotor Retardation; Autosomal Recessive Cerebellar Ataxia - Blindness - Deafness; Autosomal Recessive Cerebellar Ataxia; Autosomal Dominant Spinocerebellar Ataxia Due to a Polyglutamine Anomaly; Autosomal Dominant Spinocerebellar Ataxia Due to a Point Mutation; Autosomal Dominant Spinocerebellar Ataxia Due to a Channelopathy; Autosomal Dominant Spastic Ataxia Type 1; Autosomal Dominant Spastic Ataxia; Autosomal Dominant Optic Atrophy; Ataxia-telangiectasia Variant; Ataxia-telangiectasia; Autosomal Dominant Cerebellar Ataxia, Deafness and Narcolepsy; Autosomal Dominant Cerebellar Ataxia Type 4; Autosomal Dominant Cerebellar Ataxia Type 3; Autosomal Dominant Cerebellar Ataxia Type 2; Autosomal Dominant Cerebellar Ataxia Type 1; Autosomal Dominant Cerebellar Ataxia; Ataxia-telangiectasia-like Disorder; Ataxia With Vitamin E Deficiency; Ataxia With Dementia; Ataxia - Oculomotor Apraxia Type 1; Ataxia - Other; Ataxia - Genetic Diagnosis - Unknown; Acquired Ataxia; Adult-onset Autosomal Recessive Cerebellar Ataxia; Alcohol Related Ataxia; Multiple Endocrine Neoplasia; Multiple Endocrine Neoplasia Type II; Multiple Endocrine Neoplasia Type 1; Multiple Endocrine Neoplasia Type 2; Multiple Endocrine Neoplasia, Type IV; Multiple Endocrine Neoplasia, Type 3; Multiple Endocrine Neoplasia (MEN) Syndrome; Multiple Endocrine Neoplasia Type 2B; Multiple Endocrine Neoplasia Type 2A; Atypical Hemolytic Uremic Syndrome; Atypical HUS; Wiedemann-Steiner Syndrome; Breast Implant-Associated Anaplastic Large Cell Lymphoma; Autoimmune/Inflammatory Syndrome Induced by Adjuvants (ASIA); Hemophagocytic Lymphohistiocytosis; Behcet&#39;s Disease; Alagille Syndrome; Inclusion Body Myopathy With Early-onset Paget Disease and Frontotemporal Dementia (IBMPFD); Lowe Syndrome; Pitt Hopkins Syndrome; 1p36 Deletion Syndrome; Jansen Type Metaphyseal Chondrodysplasia; Cockayne Syndrome; Chronic Recurrent Multifocal Osteomyelitis; CRMO; Malan Syndrome; Hereditary Sensory and Autonomic Neuropathy Type Ie; VCP Disease; Hypnic Jerking; Sleep Myoclonus; Mollaret Meningitis; Recurrent Viral Meningitis; CRB1; Leber Congenital Amaurosis; Retinitis Pigmentosa; Rare Retinal Disorder; KCNMA1-Channelopathy; Primary Biliary Cirrhosis; ZMYND11; Transient Global Amnesia; Glycogen Storage Disease; Alstrom Syndrome; White Sutton Syndrome; DNM1; EIEE31; Myhre Syndrome; Recurrent Respiratory Papillomatosis; Laryngeal Papillomatosis; Tracheal Papillomatosis; Refsum Disease; Nicolaides Baraitser Syndrome; Leukodystrophy; Tango2; Cauda Equina Syndrome; Rare Gastrointestinal Disorders; Achalasia-Addisonian Syndrome; Achalasia Cardia; Achalasia Icrocephaly Syndrome; Anal Fistula; Congenital Sucrase-Isomaltase Deficiency; Eosinophilic Gastroenteritis; Idiopathic Gastroparesis; Hirschsprung Disease; Rare Inflammatory Bowel Disease; Intestinal Pseudo-Obstruction; Scleroderma; Short Bowel Syndrome; Sacral Agenesis; Sacral Agenesis Syndrome; Caudal Regression; Scheuermann Disease; SMC1A Truncated Mutations (Causing Loss of Gene Function); Cystinosis; Juvenile Nephropathic Cystinosis; Nephropathic Cystinosis; Kennedy Disease; Spinal Bulbar Muscular Atrophy; Warburg Micro Syndrome; Mucolipidoses; Mitochondrial Diseases; Mitochondrial Aminoacyl-tRNA Synthetases; Mt-aaRS Disorders; Hypertrophic Olivary Degeneration; Non-Ketotic Hyperglycinemia; Fish Odor Syndrome; Halitosis; Isolated Congenital Asplenia; Lambert Eaton (LEMS); Biliary Atresia; STAG1 Gene Mutation; Coffin Lowry Syndrome; Borjeson-Forssman-Lehman Syndrome; Blau Syndrome; Arginase 1 Deficiency; HSPB8 Myopathy; Beta-Mannosidosis; TBX4 Syndrome; DHDDS Gene Mutations; MAND-MBD5-Associated Neurodevelopmental Disorder; Constitutional Mismatch Repair Deficiency (CMMRD); SPATA5 Disorder; SPATA5L1 Related Disorder; Acrodysostosis; Multi-systematic Smooth Muscle Dysfunction Syndrome; CRELD1 (Cysteine Rich With EGF Like Domains 1); GNB1 Syndrome; Pyruvate Dehydrogenase Complex Deficiency Disease; Beta Mannosidosis; Kbg Syndrome; Labrune Syndrome; Metachromatic Leukodystrophy (MLD); Moyamoya Disease; OPHN1 Syndrome; Oculopharyngeal Muscular Dystrophy (OPMD); TUBB3 Mutation; WOREE (WWOX-related Epileptic Encephalopathy; SCAR12; Skraban-Deardorff Syndrome; Hereditary Myopathy With Early Respiratory Failure --- Dilated Cardiomyopathy",COMPLETED || RECRUITING || COMPLETED,Potential Role of Water-soluble Ubiquinol in Complementary Therapy for Pediatric Dilated Cardiomyopathy || Rare Disease Patient Registry & Natural History Study - Coordination of Rare Diseases at Sanford || Coenzyme Q10 Supplementation in Children With Idiopathic Dilated Cardiomyopathy
15288,Interferon alfa-2b,99214,cardiomyopathy due to anthracyclines,TxGNN,2,2,0,0,2,,,,,,,10,0,0,1,Potentially Adverse Effect,No Positive Sign,Yes,1,NCT03761511,,Success - Found and processed details,2025-06 (ESTIMATED),PHASE2,Friedreich Ataxia,WITHDRAWN,Study of the Efficacy and Safety of Nicotinamide in Patients With Friedreich Ataxia
14060,Levothyroxine,99214,cardiomyopathy due to anthracyclines,CompGCN,167,167,0,159,8,,,,,,,10,0,0.952095808,0.047904192,Potentially Adverse Effect,No Positive Sign,Yes,2,NCT00935012,NCT05375279,Success - Found and processed details,2019-11-20 (ACTUAL) || 2022-12-31 (ESTIMATED),PHASE3 || Unknown,ATTR-CM; TTR-CM --- Amyloidosis,COMPLETED || UNKNOWN,Safety And Efficacy Evaluation Of Fx-1006a In Patients With V122i Or Wild-Type Transthyretin (TTR) Amyloid Cardiomyopathy || A PILOT Study on LSGB vs EMB in the Diagnosis of Cardiac Transthyretin Amyloidosis
14591,Glycine,99214,cardiomyopathy due to anthracyclines,CompGCN,129,129,1,127,1,,,,,,,11,0.007751938,0.984496124,0.007751938,Potentially Therapeutic,Potentially Therapeutic,Yes,1,NCT05687474,,Success - Found and processed details,2025-06-02 (ACTUAL),Unknown,"Congenital Adrenal Hyperplasia; Familial Hyperinsulinemic Hypoglycemia 1; Phosphoglucomutase 1 Deficiency; Maturity Onset Diabetes of the Young; Cystic Fibrosis; Hypophosphatasia, Infantile; Congenital Hypothyroidism; Deficit in Anterior Pituitary Function and Variable Immunodeficiency; Pituitary Hormone Deficiency, Combined; Diamond Blackfan Anemia; Wiskott-Aldrich Syndrome; Fanconi Anemia; Hemophilia A; Hemophilia B; Glucose 6 Phosphate Dehydrogenase Deficiency; Alpha-Thalassemia; Sickle Cell Disease; Shwachman-Diamond Syndrome; Alpha 1-Antitrypsin Deficiency; Inflammatory Bowel Disease 25, Autosomal Recessive; Wilson Disease; Progressive Familial Intrahepatic Cholestasis; Crigler-Najjar Syndrome; Familial Chylomicronemia; Lysosomal Acid Lipase Deficiency; Familial Hemophagocytic Lymphocytosis; Griscelli Syndrome; Chediak-Higashi Syndrome; Severe Congenital Neutropenia; Severe Combined Immune Deficiency; Chronic Granulomatous Disease; Menkes Disease; Adrenoleukodystrophy; Smith-Lemli-Opitz Syndrome; Ataxia With Vitamin E Deficiency; Thiamine Metabolism Dysfunction Syndrome 5 (Episodic Encephalopathy Type); Thiamine Metabolism Dysfunction Syndrome 4 (Bilateral Striatal Degeneration and Progressive Polyneuropathy Type); Thiamine-Responsive Megaloblastic Anemia; Thiamine Metabolism Dysfunction Syndrome 2; Deficiency of GOT2; Cerebral Folate Transport Deficiency; Segawa Syndrome, Autosomal Recessive; Congenital Myasthenic Syndrome; Metachromatic Leukodystrophy; Sepiapterin Reductase Deficiency; Dopamine Beta Hydroxylase Deficiency; Glut1 Deficiency Syndrome; Late-Infantile Neuronal Ceroid Lipofuscinosis; Aromatic L-amino Acid Decarboxylase Deficiency; Charcot-Marie-Tooth Disease, Type 6C; Hereditary Hyperekplexia; Brain Dopamine-Serotonin Vesicular Transport Disease; Very Long Chain Hydroxy Acyl Dehydrogenase Deficiency; Tyrosinemia, Type I; Disaccharide Intolerance I; Beta Ketothiolase Deficiency; Phosphoglycerate Dehydrogenase Deficiency; Succinyl-Coa:3-Ketoacid Coa-Transferase Deficiency; Pyridoxine-5'-Phosphate Oxidase Deficiency; Pyridoxine-Dependent Epilepsy; Propionic Acidemia; Pompe Disease; Phenylalanine Hydroxylase Deficiency; Ornithine Transcarbamylase Deficiency; N Acetyl Glutamate Synthetase Deficiency; Riboflavin Deficiency; Maple Syrup Urine Disease; Medium Chain Acyl CoA Dehydrogenase Deficiency; Malonic Acidemia; Long-chain 3-hydroxyacyl-CoA Dehydrogenase Deficiency; Isovaleric Acidemia; Phosphoserine Aminotransferase Deficiency; Phosphoserine Phosphatase Deficiency; Hyperornithinemia-Hyperammonemia-Homocitrullinuria; S-Adenosylhomocysteine Hydrolase Deficiency; Mucopolysaccharidosis VII; Mucopolysaccharidosis VI; Mucopolysaccharidosis IV A; Mucopolysaccharidosis II; Mucopolysaccharidosis I; Transcobalamin Deficiency; Isolated Methylmalonic Acidemia; Cobalamin Deficiency; Homocystinuria; Holocarboxylase Synthetase Deficiency; Fanconi Bickel Syndrome; Glycogen Storage Disease; Glycine Encephalopathy; Glutaric Acidemia I; Glucose Galactose Malabsorption; Gaucher Disease, Type 1; Galactosemias; Fructosemia; Fructose-1,6-Diphosphatase Deficiency; Carbamoyl Phosphate Synthase 1 Deficiency; Citrullinemia Type II; Citrullinemia 1; Creatine Deficiency Syndrome; Systemic Primary Carnitine Deficiency; Carnitine Palmitoyltransferase Deficiency 2; Carnitine Palmitoyltransferase Deficiency 1; Carnitine Acylcarnitine Translocase Deficiency; Riboflavin Transporter Deficiency; Branched-Chain Keto Acid Dehydrogenase Kinase Deficiency; Andersen Tawil Syndrome; Timothy Syndrome; Jervell-Lange Nielsen Syndrome; Catecholaminergic Polymorphic Ventricular Tachycardia; Familial Hypertrophic Cardiomyopathy Type 4; Pseudohypoaldosteronism, Type II; Pseudohypoaldosteronism Type 1; Primary Hyperoxaluria; X Linked Hypophosphatemia; Hereditary Nephrogenic Diabetes Insipidus; Cystinosis; Congenital Nephrotic Syndrome, Finnish Type; Alport Syndrome; Hereditary Retinoblastoma; Biotinidase Deficiency; Aciduria, Argininosuccinic; Argininemia; Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of; 3-Hydroxy 3-Methyl Glutaric Aciduria; 3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency",COMPLETED,Baby Detect : Genomic Newborn Screening
16698,Enalaprilat,99214,cardiomyopathy due to anthracyclines,RLR,57,57,1,55,1,29,13,3,12,0,0,12,0.01754386,0.964912281,0.01754386,Potentially Therapeutic,Potentially Therapeutic,Yes,9,NCT04023227,"NCT02654678,NCT01557140,NCT02652728,NCT00741156,NCT00354328,NCT03071653,NCT00001534,NCT04853758",Success - Found and processed details,2025-03-16 (ACTUAL) || 2018-04 (ESTIMATED) || 2004-03 (ACTUAL) || 2017-06 (ESTIMATED) || 2010-01 (ACTUAL) || Unknown (None) || 2021-11 (ESTIMATED) || Unknown (None) || 2024-12-01 (ESTIMATED),PHASE4 || PHASE2 || PHASE4 || PHASE2 || PHASE3 || Unknown || PHASE2 || Unknown || PHASE3,"Chagas Disease; Heart Failure --- Heart Failure; Dilated Cardiomyopathy; Congenital Heart Disease --- Chagas Cardiomyopathy; Heart Failure; Dilated Cardiomyopathy --- Heart Failure; Dilated Cardiomyopathy --- Hypertension; Congestive Cardiomyopathy --- Angina, Unstable; Myocardial Infarction; Ischemic Heart Disease --- Dilated Cardiomyopathy; Ischemic Cardiomyopathy; Non-ischemic Cardiomyopathy --- Hypertrophic Cardiomyopathy; Left Ventricular Hypertrophy; Myocardial Ischemia --- Chagas Cardiomyopathy",COMPLETED || UNKNOWN || COMPLETED || UNKNOWN || COMPLETED || COMPLETED || SUSPENDED || COMPLETED || RECRUITING,"Efficacy and Safety of Sacubitril/Valsartan Compared With Enalapril on Morbidity, Mortality, and NT-proBNP Change in Patients With CCC || Follow-up Safety Trial in Children With Chronic Heart Failure Therapy Receiving Orodispersible Minitablets of Enalapril || A Randomized Trial of Carvedilol in Chronic Chagas Cardiomyopathy || Orodispersible Minitablets of Enalapril in Children With Heart Failure Due to Dilated Cardiomyopathy || The Acute Effects of the Angiotensin-converting Enzyme Inhibitor Enalaprilat on Flow Distribution || Heart Function and Exercise Capacity in Patients With Hypertrophic Cardiomyopathy || Left Cardiac Sympathetic Denervation for Cardiomyopathy Feasibility Pilot Study || Long Term Effects of Enalapril and Losartan on Genetic Heart Disease || Angiotensin Receptor-Neprilysin Inhibition in Chagas Cardiomyopathy With Reduced Ejection Fraction: ANSWER-HF."
