drug_id,drug_name,disease_id,disease_name,Model,Total_Abstracts,Analyzed,Positive,Neutral,Negative,Human_Studies,Animal_in_vivo_Studies,In_vitro_Studies,Review_Studies,Computational_Studies,Not_specified_Studies,rank,Rate_Positive,Rate_Neutral,Rate_Negative,Criterion_1,Criterion_2,has_clinical_trial,clinical_trial_count,clinical_trial_id,additional_trials,search_status,primary_completion_date,study_phase,trial_conditions,trial_status,trial_title
15586,Tranilast,99214,cardiomyopathy due to anthracyclines,TxGNN,16,16,1,15,0,,,,,,,23,0.0625,0.9375,0,Potentially Therapeutic,Potentially Therapeutic,No,0,,,No trials found,,,,,
14974,Vardenafil,99214,cardiomyopathy due to anthracyclines,CompGCN,7,7,1,6,0,,,,,,,23,0.142857143,0.857142857,0,Potentially Therapeutic,Potentially Therapeutic,No,0,,,No trials found,,,,,
15180,Fusidic acid,99214,cardiomyopathy due to anthracyclines,CompGCN,1,1,0,1,0,,,,,,,24,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
20239,Penicillamine,99214,cardiomyopathy due to anthracyclines,CompGCN,4,4,0,4,0,,,,,,,25,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14186,Cisplatin,99214,cardiomyopathy due to anthracyclines,CompGCN,40,40,0,31,9,,,,,,,26,0,0.775,0.225,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
15284,Interferon beta-1a,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,0,1,,,,,,,26,0,0,1,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
14128,Ascorbic acid,99214,cardiomyopathy due to anthracyclines,CompGCN,64,64,6,56,2,,,,,,,27,0.09375,0.875,0.03125,Potentially Therapeutic,Potentially Therapeutic,Yes,1,NCT06270498,,Success - Found and processed details,2026-03-14 (ESTIMATED),PHASE4,Chronic Heart Failure; Iron-deficiency; Left Ventricular Systolic Dysfunction,RECRUITING,Effect of Oral sucRosomIal Iron on exerciSE Capacity and Quality of Life in Patients With Heart Failure
14991,Cilostazol,99214,cardiomyopathy due to anthracyclines,TxGNN,6,6,1,5,0,,,,,,,27,0.166666667,0.833333333,0,Potentially Therapeutic,Potentially Therapeutic,No,0,,,No trials found,,,,,
14150,Morphine,99214,cardiomyopathy due to anthracyclines,CompGCN,22,22,0,22,0,,,,,,,28,0,1,0,Neutral Relation,No Positive Sign,Yes,3,NCT00694161,"NCT05394506,NCT06433089",Success - Found and processed details,2010-01 (ACTUAL) || 2027-09-30 (ESTIMATED) || 2023-09-30 (ACTUAL),PHASE2 || NA || Unknown,Cardiomyopathy --- Laminopathies; Emery Dreifuss Muscular Dystrophy 2; LMNA-Related Congenital Muscular Dystrophy; Dilated Cardiomyopathy-1A --- Nerve Block; Transapical Beating-heart Septal Myectomy,COMPLETED || RECRUITING || COMPLETED,The Effects Of Fx-1006A On Transthyretin Stabilization And Clinical Outcome Measures In Patients With V122I Or Wild-Type TTR Amyloid Cardiomyopathy || Modifying Factors in Striated Muscle Laminopathies || Postoperative Pain for Patients After TA-BSM
20263,Ganciclovir,99214,cardiomyopathy due to anthracyclines,CompGCN,9,9,0,9,0,,,,,,,29,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14868,Thiotepa,99214,cardiomyopathy due to anthracyclines,CompGCN,2,2,0,2,0,,,,,,,30,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
15285,Interferon beta-1b,99214,cardiomyopathy due to anthracyclines,TxGNN,4,4,0,3,1,,,,,,,31,0,0.75,0.25,Potentially Adverse Effect,No Positive Sign,Yes,1,NCT00185250,,Success - Found and processed details,Unknown (None),PHASE2,Cardiomyopathies; Heart Diseases,COMPLETED,Betaferon/ Betaseron (Interferon Beta-1b) in Patients With Chronic Viral Cardiomyopathy
14956,Carbamazepine,99214,cardiomyopathy due to anthracyclines,CompGCN,6,6,0,6,0,,,,,,,32,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
15263,Enasidenib,99214,cardiomyopathy due to anthracyclines,TxGNN,2,2,0,2,0,,,,,,,32,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14653,Choline,99214,cardiomyopathy due to anthracyclines,CompGCN,36,36,0,36,0,,,,,,,33,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14265,Phenprocoumon,99214,cardiomyopathy due to anthracyclines,TxGNN,3,3,0,2,1,,,,,,,34,0,0.666666667,0.333333333,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
